Date,Open,High,Low,Close,Volume
2021-01-04,540.0,600.0,540.0,600.0,24600
2021-01-05,650.0,650.0,600.0,600.0,31200
2021-01-06,650.0,650.0,600.0,600.0,1200
2021-01-07,650.0,650.0,560.0,610.0,10800
2021-01-08,660.0,660.0,570.0,605.0,21200
2021-01-11,655.0,655.0,565.0,650.0,38800
2021-01-12,655.0,655.0,605.0,645.0,23900
2021-01-13,695.0,695.0,600.0,645.0,11400
2021-01-14,695.0,695.0,600.0,600.0,12800
2021-01-15,650.0,650.0,580.0,580.0,8300
2021-01-18,630.0,630.0,560.0,610.0,6300
2021-01-19,660.0,660.0,610.0,655.0,31800
2021-01-20,705.0,705.0,610.0,700.0,37700
2021-01-21,750.0,750.0,675.0,750.0,1500
2021-01-22,800.0,800.0,750.0,795.0,4300
2021-01-25,800.0,800.0,740.0,800.0,11600
2021-01-26,850.0,850.0,750.0,840.0,2900
2021-01-27,890.0,890.0,790.0,870.0,7500
2021-01-28,920.0,920.0,815.0,920.0,14800
2021-01-29,970.0,995.0,920.0,995.0,4100
2021-02-01,1045.0,1240.0,1045.0,1100.0,28700
2021-02-02,1150.0,1150.0,1025.0,1100.0,28700
2021-02-03,1150.0,1195.0,1025.0,1110.0,9800
2021-02-04,1160.0,1160.0,1110.0,1155.0,800
2021-02-05,1205.0,1205.0,1095.0,1145.0,4600
2021-02-08,1195.0,1195.0,1130.0,1135.0,4000
2021-02-09,1185.0,1185.0,1185.0,1185.0,400
2021-02-10,1235.0,1235.0,1225.0,1230.0,2900
2021-02-11,1230.0,1230.0,1230.0,1230.0,0
2021-02-15,1230.0,1230.0,1220.0,1225.0,9500
2021-02-16,1275.0,1275.0,1200.0,1230.0,2500
2021-02-17,1280.0,1280.0,1270.0,1275.0,3400
2021-02-18,1325.0,1325.0,1220.0,1325.0,8500
2021-02-19,1375.0,1375.0,1235.0,1325.0,20000
2021-02-22,1375.0,1375.0,1310.0,1310.0,1400
2021-02-23,1360.0,1360.0,1345.0,1345.0,700
2021-02-24,1345.0,1345.0,1345.0,1345.0,100
2021-02-25,1395.0,1395.0,1335.0,1345.0,5700
2021-02-26,1395.0,1395.0,1345.0,1345.0,600
2021-03-01,1395.0,1395.0,1395.0,1395.0,100
2021-03-02,1345.0,1730.0,1330.0,1730.0,13700
2021-03-03,1730.0,1730.0,1730.0,1730.0,0
2021-03-04,1730.0,1730.0,1730.0,1730.0,0
2021-03-05,1730.0,1730.0,1730.0,1730.0,0
2021-03-08,1730.0,1730.0,1730.0,1730.0,0
2021-03-09,1730.0,1730.0,1730.0,1730.0,0
2021-03-10,1730.0,1730.0,1730.0,1730.0,0
2021-03-12,1730.0,1730.0,1730.0,1730.0,0
2021-03-15,1730.0,1730.0,1730.0,1730.0,0
2021-03-16,1750.0,1750.0,1730.0,1730.0,2700
2021-03-17,1730.0,1730.0,1730.0,1730.0,0
2021-03-18,1730.0,1730.0,1730.0,1730.0,300
2021-03-19,1730.0,1730.0,1730.0,1730.0,0
2021-03-22,1730.0,1730.0,1730.0,1730.0,0
2021-03-23,1730.0,1730.0,1730.0,1730.0,0
2021-03-24,1730.0,1730.0,1730.0,1730.0,200
2021-03-25,1730.0,1730.0,1730.0,1730.0,0
2021-03-26,1730.0,1730.0,1730.0,1730.0,10000
2021-03-29,1725.0,1730.0,1725.0,1725.0,11700
2021-03-30,1725.0,1725.0,1725.0,1725.0,300
2021-03-31,2150.0,2150.0,1715.0,1715.0,4700
2021-04-01,1715.0,1715.0,1715.0,1715.0,0
2021-04-05,1705.0,1705.0,1705.0,1705.0,100
2021-04-06,1705.0,1705.0,1705.0,1705.0,100
2021-04-07,1705.0,1705.0,1705.0,1705.0,0
2021-04-08,1705.0,1850.0,1705.0,1705.0,500
2021-04-09,1590.0,1800.0,1590.0,1800.0,700
2021-04-12,1800.0,1900.0,1700.0,1900.0,7200
2021-04-13,1900.0,1900.0,1900.0,1900.0,500
2021-04-14,1900.0,1950.0,1900.0,1950.0,1400
2021-04-15,1950.0,2000.0,1950.0,2000.0,500
2021-04-16,2000.0,2100.0,2000.0,2100.0,1600
2021-04-19,2100.0,2100.0,2100.0,2100.0,100
2021-04-20,2100.0,2100.0,2100.0,2100.0,500
2021-04-21,2100.0,2100.0,2100.0,2100.0,0
2021-04-22,2100.0,2100.0,2100.0,2100.0,100
2021-04-23,2100.0,2100.0,2100.0,2100.0,100
2021-04-26,2100.0,2100.0,2100.0,2100.0,0
2021-04-27,2100.0,2100.0,2100.0,2100.0,200
2021-04-28,2100.0,2100.0,2100.0,2100.0,0
2021-04-29,2100.0,2100.0,2100.0,2100.0,0
2021-04-30,2100.0,2100.0,2100.0,2100.0,0
2021-05-03,2000.0,2100.0,2000.0,2100.0,2600
2021-05-04,2100.0,2100.0,2100.0,2100.0,200
2021-05-05,2100.0,2100.0,2100.0,2100.0,200
2021-05-06,2100.0,2100.0,2100.0,2100.0,0
2021-05-07,2000.0,2100.0,2000.0,2100.0,300
2021-05-10,2100.0,2100.0,2100.0,2100.0,200
2021-05-11,2100.0,2100.0,2100.0,2100.0,200
2021-05-17,2200.0,2200.0,2200.0,2200.0,11900
2021-05-18,2200.0,2200.0,2200.0,2200.0,600
2021-05-19,2200.0,2200.0,2200.0,2200.0,100
2021-05-20,2200.0,2200.0,2050.0,2200.0,500
2021-05-21,2180.0,2360.0,2050.0,2360.0,8400
2021-05-24,2200.0,2950.0,2200.0,2560.0,7300
2021-05-25,2560.0,2560.0,2390.0,2560.0,3100
2021-05-27,2560.0,3050.0,2400.0,2990.0,3300
2021-05-28,2990.0,3650.0,2790.0,2980.0,37600
2021-05-31,2780.0,2990.0,2780.0,2970.0,23500
2021-06-02,2870.0,2970.0,2800.0,2800.0,900
2021-06-03,2830.0,3400.0,2610.0,2780.0,7700
2021-06-04,2790.0,3300.0,2750.0,2750.0,2700
2021-06-07,2750.0,3350.0,2590.0,2760.0,24700
2021-06-08,2760.0,3240.0,2620.0,2740.0,14200
2021-06-09,2580.0,2810.0,2580.0,2810.0,13100
2021-06-10,2810.0,3380.0,2640.0,2830.0,8500
2021-06-11,2830.0,3270.0,2770.0,2820.0,61300
2021-06-14,2820.0,2850.0,2730.0,2850.0,8300
2021-06-15,2860.0,2860.0,2850.0,2850.0,1400
2021-06-16,2850.0,2850.0,2750.0,2840.0,5700
2021-06-17,2840.0,2840.0,2830.0,2830.0,2100
2021-06-18,2830.0,2830.0,2830.0,2830.0,100
2021-06-21,2810.0,2830.0,2640.0,2830.0,2700
2021-06-22,2800.0,2810.0,2800.0,2810.0,10500
2021-06-23,2810.0,2810.0,2810.0,2810.0,100
2021-06-24,2810.0,2850.0,2680.0,2850.0,7900
2021-06-25,2750.0,3490.0,2750.0,2840.0,13900
2021-06-28,2840.0,3330.0,2840.0,3330.0,1100
2021-06-29,3360.0,3360.0,3100.0,3100.0,1600
2021-06-30,2890.0,2890.0,2890.0,2890.0,1000
2021-07-01,2790.0,2890.0,2760.0,2890.0,2200
2021-07-02,2690.0,3570.0,2690.0,2870.0,5700
2021-07-05,2770.0,3180.0,2670.0,2860.0,4900
2021-07-06,2870.0,2870.0,2870.0,2870.0,100
2021-07-07,2870.0,2870.0,2800.0,2870.0,1400
2021-07-08,2870.0,2870.0,2870.0,2870.0,200
2021-07-09,2710.0,2900.0,2710.0,2900.0,1200
2021-07-12,2720.0,2950.0,2720.0,2950.0,1800
2021-07-13,2940.0,2940.0,2940.0,2940.0,200
2021-07-14,2940.0,2940.0,2940.0,2940.0,0
2021-07-15,2770.0,3000.0,2770.0,3000.0,2200
2021-07-16,3000.0,3000.0,3000.0,3000.0,0
2021-07-19,3000.0,3000.0,3000.0,3000.0,0
2021-07-21,2900.0,3000.0,2820.0,3000.0,800
2021-07-22,3000.0,3000.0,2850.0,3000.0,1200
2021-07-23,3000.0,3000.0,3000.0,3000.0,300
2021-07-26,3000.0,3000.0,2900.0,2990.0,700
2021-07-27,3030.0,3030.0,3030.0,3030.0,300
2021-07-28,3030.0,3030.0,3030.0,3030.0,2000
2021-07-29,2820.0,3140.0,2820.0,3140.0,800
2021-07-30,3140.0,3600.0,2940.0,3580.0,3500
2021-08-02,3580.0,3580.0,3570.0,3570.0,2200
2021-08-03,3520.0,3520.0,3520.0,3520.0,1900
2021-08-04,3280.0,3510.0,3280.0,3510.0,600
2021-08-05,3270.0,3510.0,3270.0,3510.0,6800
2021-08-06,3510.0,3510.0,3510.0,3510.0,0
2021-08-09,3510.0,3510.0,3510.0,3510.0,0
2021-08-10,3510.0,3510.0,3510.0,3510.0,0
2021-08-12,3510.0,3510.0,3510.0,3510.0,0
2021-08-13,3510.0,3510.0,3510.0,3510.0,100
2021-08-16,3510.0,3510.0,3300.0,3400.0,1600
2021-08-18,3400.0,3400.0,3400.0,3400.0,0
2021-08-19,3400.0,3400.0,3400.0,3400.0,0
2021-08-20,3400.0,3400.0,3400.0,3400.0,0
2021-08-23,3400.0,3400.0,3400.0,3400.0,0
2021-08-24,3380.0,3380.0,3380.0,3380.0,100
2021-08-25,3370.0,3370.0,3150.0,3360.0,1200
2021-08-26,3360.0,3360.0,3360.0,3360.0,300
2021-08-27,3340.0,3350.0,3340.0,3350.0,200
2021-08-30,3120.0,3330.0,3120.0,3330.0,3200
2021-08-31,3330.0,3330.0,3330.0,3330.0,0
2021-09-01,3330.0,3330.0,3330.0,3330.0,0
2021-09-02,3100.0,3210.0,3100.0,3210.0,1100
2021-09-03,3300.0,3300.0,3200.0,3200.0,300
2021-09-06,3200.0,3200.0,3200.0,3200.0,0
2021-09-07,3200.0,3200.0,3200.0,3200.0,0
2021-09-08,3200.0,3200.0,3200.0,3200.0,100
2021-09-09,3200.0,3200.0,3180.0,3200.0,1000
2021-09-10,3200.0,3200.0,3200.0,3200.0,0
2021-09-13,3000.0,3200.0,2980.0,3200.0,800
2021-09-14,3200.0,3200.0,3200.0,3200.0,0
2021-09-15,3200.0,3200.0,3200.0,3200.0,1000
2021-09-16,3300.0,3300.0,3300.0,3300.0,100
2021-09-17,3070.0,3240.0,3070.0,3240.0,1600
2021-09-20,3240.0,3270.0,3020.0,3270.0,700
2021-09-21,3270.0,3270.0,3270.0,3270.0,0
2021-09-22,3270.0,3270.0,3270.0,3270.0,100
2021-09-23,3270.0,3270.0,3270.0,3270.0,100
2021-09-24,3270.0,3270.0,3270.0,3270.0,100
2021-09-27,3130.0,3130.0,3130.0,3130.0,1000
2021-09-28,3230.0,3230.0,3130.0,3230.0,500
2021-09-29,3330.0,3330.0,3230.0,3280.0,700
2021-09-30,3280.0,3280.0,3270.0,3270.0,500
2021-10-01,3270.0,3270.0,3270.0,3270.0,0
2021-10-04,3270.0,3270.0,3270.0,3270.0,700
2021-10-05,3270.0,3270.0,3270.0,3270.0,200
2021-10-06,3270.0,3480.0,3260.0,3260.0,1200
2021-10-07,3260.0,3490.0,3260.0,3490.0,300
2021-10-08,3470.0,3470.0,3470.0,3470.0,100
2021-10-11,3480.0,3480.0,3240.0,3240.0,200
2021-10-12,3280.0,3280.0,3280.0,3280.0,200
2021-10-13,3380.0,3380.0,3380.0,3380.0,100
2021-10-14,3490.0,3490.0,3490.0,3490.0,100
2021-10-15,3490.0,3490.0,3490.0,3490.0,0
2021-10-18,3490.0,3490.0,3490.0,3490.0,100
2021-10-19,3490.0,3490.0,3490.0,3490.0,100
2021-10-21,3490.0,3490.0,3490.0,3490.0,300
2021-10-22,3480.0,3480.0,3480.0,3480.0,400
2021-10-25,3470.0,3470.0,3300.0,3370.0,1400
2021-10-26,3370.0,3370.0,3370.0,3370.0,0
2021-10-27,3470.0,3470.0,3360.0,3360.0,200
2021-10-28,3460.0,3460.0,3460.0,3460.0,100
2021-10-29,3440.0,3460.0,3440.0,3460.0,500
2021-11-01,3450.0,3450.0,3450.0,3450.0,100
2021-11-02,3450.0,3450.0,3450.0,3450.0,0
2021-11-03,3450.0,3450.0,3450.0,3450.0,0
2021-11-04,3450.0,3450.0,3450.0,3450.0,0
2021-11-05,3450.0,3450.0,3450.0,3450.0,200
2021-11-08,3450.0,3450.0,3450.0,3450.0,0
2021-11-09,3450.0,3450.0,3450.0,3450.0,200
2021-11-10,3450.0,3550.0,3210.0,3550.0,1800
2021-11-11,3540.0,3570.0,3540.0,3570.0,7200
2021-11-12,3570.0,3570.0,3570.0,3570.0,200
2021-11-15,3570.0,3570.0,3570.0,3570.0,200
2021-11-16,3570.0,3570.0,3570.0,3570.0,0
2021-11-17,3570.0,3570.0,3570.0,3570.0,0
2021-11-18,3560.0,3560.0,3560.0,3560.0,300
2021-11-19,3560.0,3560.0,3560.0,3560.0,0
2021-11-22,3560.0,3560.0,3560.0,3560.0,0
2021-11-23,3560.0,3560.0,3560.0,3560.0,0
2021-11-24,3560.0,3560.0,3560.0,3560.0,0
2021-11-25,3560.0,3560.0,3560.0,3560.0,0
2021-11-26,3560.0,3560.0,3560.0,3560.0,0
2021-11-29,3560.0,3560.0,3560.0,3560.0,200
2021-11-30,3560.0,3560.0,3560.0,3560.0,100
2021-12-01,3560.0,3560.0,3560.0,3560.0,0
2021-12-02,3560.0,3560.0,3560.0,3560.0,0
2021-12-03,3560.0,3560.0,3560.0,3560.0,0
2021-12-06,3560.0,3560.0,3560.0,3560.0,0
2021-12-07,3540.0,3560.0,3540.0,3560.0,500
2021-12-08,3570.0,3570.0,3570.0,3570.0,100
2021-12-09,3570.0,3570.0,3570.0,3570.0,0
2021-12-10,3570.0,3570.0,3570.0,3570.0,0
2021-12-13,3570.0,3570.0,3570.0,3570.0,500
2021-12-14,3500.0,3560.0,3500.0,3560.0,200
2021-12-15,3560.0,3560.0,3560.0,3560.0,0
2021-12-16,3560.0,3560.0,3560.0,3560.0,0
2021-12-17,3560.0,3560.0,3560.0,3560.0,200
2021-12-20,3560.0,3560.0,3560.0,3560.0,0
2021-12-21,3560.0,3560.0,3560.0,3560.0,0
2021-12-22,3570.0,3650.0,3540.0,3640.0,40900
2021-12-23,3640.0,3640.0,3640.0,3640.0,100
2021-12-24,3640.0,3640.0,3640.0,3640.0,0
2021-12-27,3640.0,3640.0,3640.0,3640.0,600
2021-12-28,3640.0,3640.0,3640.0,3640.0,0
2021-12-29,3640.0,3640.0,3640.0,3640.0,100
2021-12-30,3640.0,3640.0,3640.0,3640.0,100
2022-01-03,3640.0,3640.0,3640.0,3640.0,200
2022-01-04,3640.0,3640.0,3640.0,3640.0,500
2022-01-05,3640.0,3640.0,3640.0,3640.0,600
2022-01-06,3640.0,3640.0,3640.0,3640.0,0
2022-01-07,3640.0,3640.0,3640.0,3640.0,200
2022-01-10,3620.0,3620.0,3620.0,3620.0,200
2022-01-11,3620.0,3720.0,3620.0,3720.0,28100
2022-01-12,3720.0,3720.0,3720.0,3720.0,0
2022-01-13,3730.0,3730.0,3710.0,3710.0,2000
2022-01-14,3710.0,3710.0,3710.0,3710.0,0
2022-01-17,3710.0,3710.0,3710.0,3710.0,0
